,Phylum,Class,Order,Family,Genus,Species,modern_longitude,modern_latitude,start_year,end_year,ancient_longitude,ancient_latitude
0,Gymnospermae,Coniferopsida,O,F,Aethophyllum,Aethophyllum niuingziensis,120.645,41.58,-174.0,-163.0,125.68,44.76
1,Gymnospermae,C,O,F,Allicospermum,Allicospermum ovoides,95.751,37.527,-174.0,-163.0,100.42,36.63
2,Pteridophyta,Sphenopsida,Equisetales,F,Annulariopsis,Annulariopsis cf.inopinata,110.311,39.048,-174.0,-163.0,114.7,42.45
3,Pteridophyta,Sphenopsida,Equisetales,F,Annulariopsis,Annulariopsis simpsonii,92.667,43.141000000000005,-174.0,-163.0,103.57,40.71
4,Pteridophyta,Sphenopsida,Equisetales,F,Annulariopsis,Annulariopsis simpsonii,108.941,34.897,-174.0,-163.0,113.16,38.32
5,Pteridophyta,Sphenopsida,Equisetales,F,Annulariopsis,Annulariopsis simpsonii,109.604,40.022,-174.0,-163.0,113.99,43.44
6,Pteridophyta,Sphenopsida,Equisetales,F,Annulariopsis,Annulariopsis simpsonii,115.685,39.964,-174.0,-163.0,120.39,43.27
7,Pteridophyta,Sphenopsida,Equisetales,F,Annulariopsis,Annulariopsis xibeiensis,75.02600000000001,39.725,-174.0,-163.0,82.6,42.38
8,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites angulatus,110.266,40.671,-174.0,-163.0,114.7,44.08
9,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites angulatus,120.766,41.799,-174.0,-163.0,125.82,44.97
10,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites angulatus,131.89,45.637,-174.0,-163.0,138.47,49.05
11,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.gracilis,108.816,31.116999999999997,-174.0,-163.0,113.37,32.86
12,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.gracilis,110.76100000000001,30.965,-174.0,-163.0,115.33,33.19
13,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.hartzii,75.987,39.47,-174.0,-163.0,83.56,42.05
14,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.major,115.932,39.961999999999996,-174.0,-163.0,120.65,43.26
15,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.major,120.618,41.102,-174.0,-163.0,125.63,44.28
16,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.minor,95.361,37.85,-174.0,-163.0,100.01,36.94
17,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.minor,97.81,37.348,-174.0,-163.0,102.47,36.56
18,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.minor,106.514,33.85,-174.0,-163.0,110.18,34.91
19,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.minor,110.60700000000001,31.006,-174.0,-163.0,115.16,33.19
20,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites cf.minor,120.618,41.102,-174.0,-163.0,125.63,44.28
21,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites fangounus,115.69,39.971,-174.0,-163.0,120.39,43.27
22,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites giganteus,120.963,41.701,-174.0,-163.0,126.02,44.87
23,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites gracilis,110.60700000000001,31.006,-174.0,-163.0,115.16,33.19
24,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites haifanggouensis,119.223,41.312,-174.0,-163.0,124.17,44.53
25,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites haifanggouensis,120.83200000000001,40.71,-174.0,-163.0,125.84,43.88
26,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites kornilovae,121.046,41.805,-174.0,-163.0,126.12,44.97
27,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites latipinnatus,115.281,40.501,-174.0,-163.0,119.99,43.81
28,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites latirhchis,115.69,39.971,-174.0,-163.0,120.39,43.27
29,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites major,92.675,43.146,-174.0,-163.0,103.58,40.71
30,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites major,115.69,39.971,-174.0,-163.0,120.39,43.27
31,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites pseudomuensterii,115.69,39.971,-174.0,-163.0,120.39,43.27
32,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites simplex,121.04700000000001,41.803999999999995,-174.0,-163.0,126.12,44.97
33,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites sinensis,121.04700000000001,41.803999999999995,-174.0,-163.0,126.12,44.97
34,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites specialis,95.361,37.85,-174.0,-163.0,100.01,36.94
35,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites thomasi,92.675,43.146,-174.0,-163.0,103.58,40.71
36,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites thomasi,115.281,40.501,-174.0,-163.0,119.99,43.81
37,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites thomasi,116.102,39.902,-174.0,-163.0,120.83,43.19
38,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites thomasi,82.925,41.708,-174.0,-163.0,91.04,43.72
39,Gymnospermae,Cycadopsida,Bennettiales,F,Anomozamites,Anomozamites ulanensis,95.361,37.85,-174.0,-163.0,100.01,36.94
40,Angiospermae,C,O,F,Antholithus,Antholithus fulongshanensis,120.619,41.101000000000006,-174.0,-163.0,125.63,44.28
41,Gymnospermae,Coniferopsida,O,Araucariaceae,Araucarioxylon,Araucarioxylon batuense,120.771,41.471000000000004,-174.0,-163.0,125.81,44.64
42,Gymnospermae,Coniferopsida,O,Araucariaceae,Araucarioxylon,Araucarioxylon zigongensis,104.82,29.388,-174.0,-163.0,110.06,30.23
43,Gymnospermae,C,Czekanowskiales,F,Arctobaiera,Arctobaiera renbaoi,111.868,34.748000000000005,-174.0,-163.0,116.21,38.13
44,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera balejensis,123.76,41.292,-174.0,-163.0,128.94,44.38
45,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera qinghaiensis,96.016,37.523,-174.0,-163.0,100.69,36.64
46,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera cf.minima,120.63600000000001,41.768,-174.0,-163.0,125.68,44.95
47,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera furcata,96.016,37.523,-174.0,-163.0,100.69,36.64
48,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera ahnertii,111.868,34.748000000000005,-174.0,-163.0,116.21,38.13
49,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera asadai,109.11,36.873000000000005,-174.0,-163.0,113.38,40.3
50,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera asadai,111.868,34.748000000000005,-174.0,-163.0,116.21,38.13
51,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera asadai,120.63600000000001,41.768,-174.0,-163.0,125.68,44.95
52,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera cf.gracilis,112.661,35.113,-174.0,-163.0,117.05,38.48
53,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera cf.gracilis,114.354,39.922,-174.0,-163.0,118.99,43.25
54,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera cf.gracilis,120.63600000000001,41.768,-174.0,-163.0,125.68,44.95
55,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera cf.gracilis,121.86399999999999,45.861999999999995,-174.0,-163.0,127.76,49.54
56,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera cf.guilhaumati,106.215,39.248000000000005,-174.0,-163.0,110.39,42.71
57,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera cf.muensteriana,108.949,34.266,-174.0,-163.0,113.15,37.69
58,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera cf.phillipsi,125.499,44.288999999999994,-174.0,-145.0,129.41,46.07
59,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera cf.concinna,108.17299999999999,35.049,-174.0,-163.0,112.36,38.49
60,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera cf.furcata,112.289,38.842,-174.0,-163.0,116.78,42.21
61,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera cf.hallei,110.31,39.048,-174.0,-163.0,114.7,42.45
62,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera concinna,111.868,34.748000000000005,-174.0,-163.0,116.21,38.13
63,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera concinna,120.63600000000001,41.768,-174.0,-163.0,125.68,44.95
64,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera czekanowskiana,120.777,40.897,-174.0,-163.0,125.79,44.07
65,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera furcata,96.016,37.523,-174.0,-163.0,100.69,36.64
66,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera furcata,101.15,38.535,-174.0,-163.0,105.05,42.04
67,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera furcata,102.87299999999999,36.43,-174.0,-163.0,106.83,39.93
68,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera furcata,102.87299999999999,36.43,-174.0,-163.0,106.83,39.93
69,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera furcata,108.831,36.145,-174.0,-163.0,113.07,39.57
70,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera furcata,108.94,34.897,-174.0,-163.0,113.16,38.32
71,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera furcata,110.31,39.048,-174.0,-163.0,114.7,42.45
72,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera furcata,113.667,39.748000000000005,-174.0,-163.0,118.26,43.09
73,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera furcata,115.281,40.501,-174.0,-163.0,119.99,43.81
74,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera furcata,119.616,28.373,-174.0,-163.0,125.0,32.84
75,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera furcata,120.63600000000001,41.768,-174.0,-163.0,125.68,44.95
76,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera furcata,121.86399999999999,45.861999999999995,-174.0,-163.0,127.76,49.54
77,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera gracilis,103.823,36.059,-174.0,-163.0,107.82,39.55
78,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera gracilis,108.94,34.897,-174.0,-163.0,113.16,38.32
79,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera gracilis,109.11,36.873000000000005,-174.0,-163.0,113.38,40.3
80,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera gracilis,110.6,38.973,-174.0,-163.0,115.0,42.37
81,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera gracilis,111.868,34.748000000000005,-174.0,-163.0,116.21,38.13
82,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera gracilis,112.943,40.121,-174.0,-163.0,117.51,43.48
83,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera gracilis,115.685,39.964,-174.0,-163.0,120.39,43.27
84,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera gracilis,120.63600000000001,41.768,-174.0,-163.0,125.68,44.95
85,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera gracilis,120.727,41.018,-174.0,-163.0,125.74,44.19
86,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera gracilis,124.141,42.842,-174.0,-145.0,127.43,44.06
87,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera gracilis,124.251,40.975,-174.0,-145.0,127.51,42.19
88,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera guilhaumati,111.868,34.748000000000005,-174.0,-163.0,116.21,38.13
89,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera guilhaumati,119.596,29.311999999999998,-174.0,-163.0,124.68,33.74
90,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera hallei,108.94,34.897,-174.0,-163.0,113.16,38.32
91,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera hallei,111.868,34.748000000000005,-174.0,-163.0,116.21,38.13
92,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera hallei,113.292,40.075,-174.0,-163.0,117.87,43.43
93,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera kidoi,124.56200000000001,44.018,-174.0,-145.0,128.45,45.8
94,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera manchurica,108.949,34.266,-174.0,-163.0,113.15,37.69
95,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera manchurica,108.94,34.897,-174.0,-163.0,113.16,38.32
96,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera manchurica,124.56200000000001,44.018,-174.0,-145.0,128.45,45.8
97,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera minima,124.141,42.842,-174.0,-145.0,127.43,44.06
98,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera orientalis,125.499,44.288999999999994,-174.0,-145.0,129.41,46.07
99,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera pseudogracilis,113.292,40.075,-174.0,-163.0,117.87,43.43
100,Gymnospermae,C,Ginkgoales,F,Baiera,Baiera concinna,121.196,41.512,-174.0,-145.0,124.41,42.75
101,Gymnospermae,C,Czekanowskiales,F,Baiguophyllum,Baiguophyllum lijianum,116.194,39.97,-174.0,-163.0,120.92,43.26
102,Gymnospermae,Cycadopsida,Cycadales,F,Beania,Beania chaoyangensis,120.68799999999999,41.353,-174.0,-163.0,125.72,44.53
103,Gymnospermae,Coniferopsida,Coniferales,F,Brachyphyllum,Brachyphyllum obesum,95.363,37.848,-174.0,-163.0,100.02,36.93
104,Gymnospermae,Coniferopsida,Coniferales,F,Brachyphyllum,Brachyphyllum obesum,102.87899999999999,36.428000000000004,-174.0,-163.0,106.84,39.93
105,Gymnospermae,C,O,F,Carpolithes,Carpolithes globularis,111.867,34.748000000000005,-174.0,-163.0,116.21,38.13
106,Gymnospermae,C,O,F,Carpolithus,Carpolithus cf.cinctus,113.76,39.618,-174.0,-163.0,118.35,42.96
107,Gymnospermae,C,O,F,Carpolithus,Carpolithus fabiformis,120.884,41.522,-174.0,-145.0,127.91,46.33
108,Gymnospermae,C,O,F,Carpolithus,Carpolithus latizonus,96.016,37.523,-174.0,-163.0,100.69,36.64
109,Gymnospermae,C,O,F,Carpolithus,Carpolithus latizonus,111.867,34.748000000000005,-174.0,-163.0,116.21,38.13
110,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis asiatica,124.24600000000001,40.385999999999996,-174.0,-145.0,127.5,41.6
111,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis asiatica,124.354,41.256,-174.0,-145.0,127.62,42.47
112,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis asiatica,124.359,41.26,-174.0,-145.0,127.63,42.47
113,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis aff.scariosa,111.88,34.753,-174.0,-163.0,116.23,38.13
114,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis argutula,105.26700000000001,32.703,-174.0,-163.0,109.38,33.51
115,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis argutula,106.51700000000001,33.848,-174.0,-163.0,110.18,34.91
116,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis argutula,115.219,40.38,-174.0,-163.0,119.92,43.69
117,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis argutula,111.138,38.001,-174.0,-163.0,115.54,41.39
118,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis cf.gigantea,116.103,39.934,-174.0,-163.0,120.83,43.23
119,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis cf.scariosa,116.944,40.21,-174.0,-163.0,124.12,47.58
120,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis cf.tschagdamensis,116.10700000000001,39.946,-174.0,-163.0,120.83,43.24
121,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis delicatula,120.45,41.573,-174.0,-145.0,123.65,42.82
122,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis fukiensis,115.70200000000001,39.978,-174.0,-163.0,120.41,43.28
123,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis fuxiaensis,105.26700000000001,32.703,-174.0,-163.0,109.38,33.51
124,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis fuxiaensis,106.51700000000001,33.848,-174.0,-163.0,110.18,34.91
125,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis haiburensis,96.023,37.53,-174.0,-163.0,100.69,36.65
126,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis haiburensis,108.90799999999999,35.144,-174.0,-163.0,113.13,38.57
127,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis haiburensis,109.626,40.037,-174.0,-163.0,114.01,43.45
128,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis haiburensis,111.88,34.753,-174.0,-163.0,116.23,38.13
129,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis haiburensis,115.786,39.888000000000005,-174.0,-163.0,120.49,43.19
130,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis haiburensis,75.035,39.732,-174.0,-163.0,82.61,42.39
131,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis hebeiensis,115.219,40.38,-174.0,-163.0,119.92,43.69
132,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis heitingshanensis,124.59200000000001,51.923,-174.0,-163.0,131.06,55.54
133,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis hirta,92.66799999999999,43.141999999999996,-174.0,-163.0,103.57,40.71
134,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis hirta,110.316,39.049,-174.0,-163.0,114.71,42.45
135,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis hirta,94.99700000000001,38.044000000000004,-174.0,-163.0,99.64,37.11
136,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis ingens,111.88,34.753,-174.0,-163.0,116.23,38.13
137,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis integra,108.945,34.896,-174.0,-163.0,113.16,38.32
138,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis kansuensis,105.12200000000001,33.522,-174.0,-163.0,108.95,34.26
139,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis kaxgensis,75.029,39.726,-174.0,-163.0,82.61,42.38
140,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis longipennis,108.945,34.896,-174.0,-163.0,113.16,38.32
141,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis magnifica,124.59200000000001,51.923,-174.0,-163.0,131.06,55.54
142,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis mutatus,111.88,34.753,-174.0,-163.0,116.23,38.13
143,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis nalivkini,120.779,41.735,-174.0,-163.0,125.83,44.91
144,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis nebbensis,96.023,37.53,-174.0,-163.0,100.69,36.65
145,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis nebbensis,75.035,39.732,-174.0,-163.0,82.61,42.39
146,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis paradelicatula,105.12200000000001,33.522,-174.0,-163.0,108.95,34.26
147,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis parvifolia,75.029,39.726,-174.0,-163.0,83.86,47.91
148,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis pseudoargutula,121.052,41.806000000000004,-174.0,-163.0,126.12,44.97
149,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis pseudodelicatula,108.945,34.896,-174.0,-163.0,113.16,38.32
150,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis stenolopha,111.88,34.753,-174.0,-163.0,116.23,38.13
151,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis sulcata,96.01700000000001,37.524,-174.0,-163.0,100.69,36.64
152,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis suluktensis,95.37100000000001,37.857,-174.0,-163.0,100.02,36.94
153,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis suluktensis,75.029,39.726,-174.0,-163.0,82.61,42.38
154,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis suniana,75.029,39.726,-174.0,-163.0,82.61,42.38
155,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis triangularis,108.945,34.896,-174.0,-163.0,113.16,38.32
156,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis triangularis,109.78,39.608000000000004,-174.0,-163.0,114.16,43.02
157,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis tsaidamensis,86.67299999999999,43.768,-174.0,-163.0,100.09,44.28
158,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis tsaidamensis,111.874,34.747,-174.0,-163.0,116.22,38.13
159,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis vasilevskae,99.963,40.064,-174.0,-163.0,103.81,43.58
160,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis vasilevskae,116.10700000000001,39.946,-174.0,-163.0,120.83,43.24
161,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis whitbyensis,81.541,41.986999999999995,-174.0,-163.0,89.66,44.11
162,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis xietanensis,110.772,30.968000000000004,-174.0,-163.0,115.34,33.2
163,Pteridophyta,Filicopsida,O,F,Cladophlevis,Cladophlevis cf.punctata,109.78,39.608000000000004,-174.0,-163.0,114.16,43.02
164,Pteridophyta,Filicopsida,O,F,Cladophlevis,Cladophlevis pseudoraciborskii,111.874,34.747,-174.0,-163.0,116.22,38.13
165,Pteridophyta,Filicopsida,O,F,Cladophlevis,Cladophlevis punctata,110.315,40.655,-174.0,-163.0,114.75,44.06
166,Pteridophyta,Filicopsida,O,F,Cladophlevis,Cladophlevis punctata,111.874,34.747,-174.0,-163.0,116.22,38.13
167,Pteridophyta,Filicopsida,O,F,Cladophlevis,Cladophlevis punctata,115.786,39.888000000000005,-174.0,-145.0,118.87,41.17
168,Pteridophyta,Filicopsida,O,F,Cladophlevis,Cladophlevis punctata,124.147,42.845,-174.0,-145.0,127.44,44.06
169,Pteridophyta,Filicopsida,O,F,Cladophlevis,Cladophlevis raciborskii,113.3,40.076,-174.0,-163.0,117.88,43.43
170,Pteridophyta,Filicopsida,O,Dipteridaceae,Clathropteris,Clathropteris cf.obovata,92.66799999999999,43.141999999999996,-174.0,-163.0,103.57,40.71
171,Pteridophyta,Filicopsida,O,Dipteridaceae,Clathropteris,Clathropteris elegans,75.035,39.732,-174.0,-163.0,82.61,42.39
172,Pteridophyta,Filicopsida,O,Dipteridaceae,Clathropteris,Clathropteris meniscioides,108.82600000000001,31.121,-174.0,-163.0,113.38,32.87
173,Pteridophyta,Filicopsida,O,Dipteridaceae,Clathropteris,Clathropteris obovata,119.185,41.132,-174.0,-163.0,124.12,44.35
174,Pteridophyta,Filicopsida,O,Dipteridaceae,Clathropteris,Clathropteris obovata,75.035,39.732,-174.0,-163.0,82.61,42.39
175,Pteridophyta,Filicopsida,O,Dipteridaceae,Clathropteris,Clathropteris pekingensis,110.425,40.23,-174.0,-163.0,114.86,43.63
176,Pteridophyta,Filicopsida,O,Dipteridaceae,Clathropteris,Clathropteris pekingensis,110.505,38.848,-174.0,-163.0,114.9,42.25
177,Pteridophyta,Filicopsida,O,Dipteridaceae,Clathropteris,Clathropteris pekingensis,115.70200000000001,39.978,-174.0,-163.0,120.41,43.28
178,Pteridophyta,Filicopsida,O,Dipteridaceae,Clathropteris,Clathropteris pekingensis,124.363,41.266000000000005,-174.0,-163.0,129.57,44.33
179,Pteridophyta,Filicopsida,O,Dipteridaceae,Clathropteris,Clathropteris platyphylla,108.82,31.114,-174.0,-163.0,113.38,32.86
180,Pteridophyta,Filicopsida,O,Dipteridaceae,Clathropteris,Clathropteris platyphylla,75.035,39.732,-174.0,-163.0,82.61,42.39
181,Pteridophyta,Filicopsida,O,Dicksoniaceae,Coniopteris,Coniopteris angustiloba,102.90700000000001,39.525999999999996,-174.0,-163.0,106.91,43.02
182,Pteridophyta,Filicopsida,O,Dicksoniaceae,Coniopteris,Coniopteris beipiaoensis,121.052,41.806000000000004,-174.0,-163.0,126.12,44.97
183,Pteridophyta,Filicopsida,O,Dicksoniaceae,Coniopteris,Coniopteris bella,102.875,36.43,-174.0,-163.0,106.83,39.93
184,Pteridophyta,Filicopsida,O,Dicksoniaceae,Coniopteris,Coniopteris bella,109.787,39.614000000000004,-174.0,-163.0,114.17,43.03
185,Pteridophyta,Filicopsida,O,Dicksoniaceae,Coniopteris,Coniopteris bella,120.779,41.735,-174.0,-163.0,125.83,44.91
186,Pteridophyta,Filicopsida,O,Dicksoniaceae,Coniopteris,Coniopteris bella,85.14399999999999,44.75,-174.0,-163.0,88.15,47.81
187,Pteridophyta,Filicopsida,O,Dicksoniaceae,Coniopteris,Coniopteris burejensis,125.929,44.18,-174.0,-145.0,129.86,45.96
188,Pteridophyta,Filicopsida,O,Dicksoniaceae,Coniopteris,Coniopteris burejensis,127.351,43.73,-174.0,-145.0,130.72,44.91
189,Pteridophyta,Filicopsida,O,Dicksoniaceae,Coniopteris,Coniopteris cf.tatungensis,116.101,39.94,-174.0,-163.0,120.83,43.23
190,Pteridophyta,Filicopsida,O,Dicksoniaceae,Coniopteris,Coniopteris cf.beijingensis,108.95200000000001,34.902,-174.0,-163.0,113.17,38.33
191,Pteridophyta,Filicopsida,O,Dicksoniaceae,Coniopteris,Coniopteris cf.bella,120.699,41.36,-174.0,-163.0,125.73,44.54
192,Pteridophyta,Filicopsida,O,Dicksoniaceae,Coniopteris,Coniopteris cf.bella,131.938,45.626999999999995,-174.0,-163.0,138.52,49.04
193,Pteridophyta,Filicopsida,O,Dicksoniaceae,Coniopteris,Coniopteris cf.burejensis,102.90700000000001,39.525999999999996,-174.0,-163.0,106.91,43.02
194,Pteridophyta,Filicopsida,O,Dicksoniaceae,Coniopteris,Coniopteris cf.burejensis,108.82,31.114,-174.0,-163.0,113.38,32.86
195,Pteridophyta,Filicopsida,O,Dicksoniaceae,Coniopteris,Coniopteris cf.spectabilis,124.59200000000001,51.923,-174.0,-163.0,131.06,55.54
196,Pteridophyta,Filicopsida,O,Dicksoniaceae,Coniopteris,Coniopteris cf.zindanensis,122.771,52.229,-174.0,-163.0,129.1,55.89
197,Pteridophyta,Filicopsida,O,Dicksoniaceae,Coniopteris,Coniopteris changii,121.052,41.806000000000004,-174.0,-163.0,126.12,44.97
198,Pteridophyta,Filicopsida,O,Dicksoniaceae,Coniopteris,Coniopteris depensis,116.064,40.489000000000004,-174.0,-163.0,120.81,43.78
